SEQN,RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
84073,39,2,2,10,1.42
84074,26,2,2,12,NA
84075,62,1,3,4,1.41
84076,20,1,1,7,0.84
84077,46,2,2,14,4.78
84078,9,2,4,3,0.65
84079,10,2,4,8,2.23
84080,2,1,2,3,0.31
84081,0,2,4,14,2.94
84082,24,2,6,14,0
84083,5,1,7,7,1.65
84084,4,1,4,2,0.4
84085,7,2,4,13,0.3
84086,45,1,3,15,5
84087,36,1,6,15,5
84088,45,2,3,15,4.6
84089,53,1,3,7,2.95
84090,26,2,3,10,1.51
84091,60,2,4,15,5
84092,58,2,6,6,1.24
84093,16,2,2,14,3.3
84094,73,2,3,15,5
84095,61,2,4,14,5
84096,9,2,4,6,0.92
84097,7,2,2,14,3.72
84098,26,1,4,7,0.95
84099,74,1,1,7,1.79
84100,13,1,2,3,0.46
84101,80,1,3,9,3.75
84102,13,2,4,6,1.09
84103,33,1,3,2,0.72
84104,1,2,4,5,0.74
84105,28,1,3,6,1.32
84106,57,1,6,15,5
84107,60,2,1,12,NA
84108,63,1,3,3,1.07
84109,66,1,3,15,5
84110,28,1,1,7,0.81
84111,58,1,2,NA,NA
84112,46,1,6,5,1.19
84113,7,1,1,7,1.23
84114,59,1,3,6,2.12
84115,80,1,6,77,NA
84116,1,2,1,15,5
84117,11,1,4,14,4.02
84118,72,2,2,99,NA
84119,52,1,6,NA,NA
84120,67,1,2,6,1.2
84121,18,1,1,10,1.42
84122,54,1,2,12,2.12
84123,8,1,7,15,5
84124,1,2,4,1,0.07
84125,72,2,3,9,3.87
84126,38,1,3,6,0.69
84127,12,2,1,10,1.42
84128,46,2,1,2,0.59
84129,80,1,6,3,0.81
84130,26,2,3,10,4.49
84131,4,1,7,6,1.03
84132,3,2,1,10,2.15
84133,5,1,1,8,2.29
84134,13,1,3,15,3.07
84135,0,1,3,7,1.99
84136,8,1,3,6,0.99
84137,28,2,6,8,2.1
84138,1,2,3,14,3.09
84139,78,2,2,3,1.19
84140,21,2,4,1,0.29
84141,10,2,2,10,2.59
84142,24,1,3,15,5
84143,35,2,7,9,0.32
84144,8,1,4,7,1.98
84145,2,2,2,15,4.98
84146,4,1,3,6,0.88
84147,78,1,1,5,0.56
84148,1,2,3,15,3.33
84149,9,1,3,9,2.47
84150,3,1,6,1,0
84151,53,2,3,15,5
84152,46,2,2,4,0.9
84153,6,1,1,7,1.06
84154,10,1,4,3,0.65
84155,14,2,1,77,NA
84156,29,2,4,3,0.35
84157,45,1,3,13,NA
84158,5,1,4,10,2.89
84159,4,1,4,2,0.42
84160,45,2,4,15,5
84161,1,2,4,5,0.63
84162,1,2,1,9,2.11
84163,3,2,1,7,0.02
84164,7,2,4,15,4.23
84165,57,1,1,10,1.96
84166,67,2,3,14,4.99
84167,46,1,6,14,3.16
84168,61,1,6,5,1.09
84169,43,1,7,8,2.23
84170,46,1,1,8,2.61
84171,30,2,3,15,5
84172,20,1,4,6,0
84173,52,1,1,9,2.99
84174,54,2,2,8,2.81
84175,4,2,1,15,5
84176,7,2,3,14,2.82
84177,77,1,1,3,0.88
84178,80,1,3,14,2.39
84179,7,2,7,15,5
